EMPLOYEE_ID,SALARY,MANAGER,DEPARTMENT
48-4388177,4350.91,2,Business Development
91-0769717,5503.41,2,Legal
93-9109421,4795.13,2,Legal
77-6317911,4437.37,1,Sales
78-3002106,3491.47,3,Research and Development
00-0812910,5661.61,4,Sales
29-4569191,2801.52,3,Sales
20-3950163,4708.32,1,Business Development
71-3836031,4386.44,2,Services
11-3556397,4707.37,2,Engineering
35-7267776,3277.65,1,Sales
68-9613116,5674.49,3,Legal
50-1675136,4270.71,5,Product Management
91-3046177,4305.67,5,Engineering
01-0852745,3627.97,1,Engineering
98-7077161,3528.74,2,Product Management
14-4077215,3061.91,5,Sales
26-5631351,2716.07,3,Human Resources
31-3372392,5360.9,5,Legal
71-0870090,3117.07,2,Legal
80-6851332,2848.51,5,Sales
68-0982425,3431.21,5,Services
07-1684047,4125.2,5,Training
65-1714712,5715.87,4,Engineering
15-4700138,2854.99,3,Engineering
18-1410392,3115.1,4,Product Management
28-3945100,4383.78,2,Human Resources
97-8234539,4297.34,4,Sales
85-1851492,5314.82,3,Business Development
30-5577684,3446.39,2,Research and Development
73-9415891,5625.17,3,Services
49-0236987,4537.45,1,Engineering
93-3381785,3138.79,1,Accounting
50-9356186,5775.5,3,Business Development
72-7782560,4739.63,1,Business Development
49-7942417,3596.34,5,Engineering
15-7290999,4360.63,4,Business Development
72-8954056,3088.33,5,Support
71-0579141,3499.81,3,Business Development
67-5654919,3226.42,2,Business Development
60-4217979,5240.9,5,Product Management
69-0653723,5320.5,2,Support
41-3283681,3658.52,3,Human Resources
75-8721776,3538.42,2,Product Management
16-7298060,5717.43,5,Legal
37-6253814,5162.41,3,Research and Development
35-8644039,4169.47,2,Training
95-6379365,2954.59,1,Accounting
51-7889350,3664.25,4,Legal
98-9470673,2884.45,3,Support
22-0417759,4175.51,4,Product Management
52-2950359,5792.6,2,Business Development
00-3003841,3456.55,3,Sales
87-0327620,4531.98,4,Marketing
59-0256659,4862.34,5,Business Development
12-1724202,5721.07,2,Services
01-5024753,2926.91,2,Training
30-9797707,3040.86,2,Legal
01-2893653,4579.07,3,Services
31-6256138,2702.37,5,Engineering
40-1701603,4384.46,4,Services
01-0310256,4710.91,4,Research and Development
54-1680920,5186.51,5,Research and Development
20-4582204,5878.94,3,Engineering
81-0547029,3723.83,1,Services
50-3852816,4818.13,1,Human Resources
75-7518115,4751.43,3,Legal
78-3224024,4226.74,3,Marketing
74-6701322,3712.06,3,Business Development
90-2009777,3796.56,1,Business Development
94-0046748,3717.67,2,Training
99-8467945,2796.46,3,Accounting
47-5537102,3323.13,4,Research and Development
52-2357361,5798.18,4,Services
84-8135966,4786.67,2,Services
39-0259196,4580.88,2,Marketing
70-2690187,5703.29,3,Business Development
75-5292437,4079.87,1,Human Resources
21-2897851,3090.77,3,Human Resources
73-8404316,4064.17,1,Support
82-6358952,2866.55,2,Training
43-1492216,4158.61,1,Human Resources
15-5167255,5736.14,3,Engineering
54-3556674,5976.2,2,Support
82-1273072,5444.35,1,Training
25-2321533,5122.76,5,Training
09-8541920,4450.65,4,Business Development
74-1422799,4784.53,5,Sales
01-7227861,4397.6,5,Marketing
56-0924192,5978.8,5,Research and Development
91-8884188,2703.08,4,Product Management
04-1051041,3583.57,4,Marketing
33-2772718,5984.84,5,Marketing
08-2441026,5864.36,1,Human Resources
24-8420848,3533.77,5,Support
03-6461735,4575.16,1,Product Management
11-4898333,4136.94,5,Engineering
86-8377325,3075.46,4,Marketing
50-9932383,3843.54,3,Sales
08-0415090,5408.9,3,Support
73-3018667,3364.28,1,Product Management
02-8181875,2840.19,1,Support
15-4147648,4827.31,2,Business Development
22-3351664,4987.03,4,Business Development
05-5081049,4998.91,2,Product Management
48-3038719,3175.4,1,Marketing
71-9547635,5054.5,5,Marketing
89-7308515,4448.35,1,Support
62-0821670,2702.43,1,Engineering
53-8694917,4963.03,4,Accounting
96-7337506,4005.89,2,Training
29-6135164,2932.57,5,Marketing
78-6524558,3196.93,5,Legal
09-2259771,5432.18,3,Engineering
38-3911508,4587.24,3,Services
49-6017092,5360.33,4,Accounting
29-7054572,4948.11,4,Sales
37-3181608,3456.28,2,Training
27-3834171,4479.65,5,Engineering
07-1895475,5270.58,3,Sales
93-8978092,4887.62,3,Human Resources
19-7975294,5074.67,5,Human Resources
33-4433535,5781.55,4,Product Management
74-2402895,2994.97,2,Research and Development
14-2170904,4366.03,5,Marketing
97-7678188,5122.71,5,Marketing
79-4086962,3259.44,1,Business Development
22-6693738,4551.51,4,Product Management
63-3432412,3399.7,1,Research and Development
24-1391377,4238.43,2,Training
28-6812474,3951.18,3,Research and Development
45-7545851,2833.96,2,Human Resources
27-7293662,3437.12,2,Human Resources
18-4315509,3149.96,1,Training
86-6426775,2729.69,4,Training
74-1542123,2745.93,3,Services
68-6183909,5966.81,1,Sales
22-1486804,3313.02,3,Product Management
18-5132488,3753.15,5,Services
96-9946499,4757.93,5,Legal
32-8493214,5166.32,3,Business Development
72-2572561,4753.74,2,Sales
96-0878260,3245.55,2,Product Management
47-9084665,3210.47,3,Human Resources
47-0792163,5419.51,2,Support
36-8725222,4670.49,2,Human Resources
85-2760442,4411.8,5,Legal
12-4522482,3521.52,2,Sales
13-9568242,4770.41,5,Product Management
90-7889872,5233.95,3,Services
91-3595732,4810.27,2,Marketing
34-8938176,2940.75,2,Services
35-9185512,3412.51,4,Engineering
47-2105966,3930.68,2,Marketing
65-1535229,4173.96,3,Product Management
25-2267647,3079.01,2,Sales
71-3483695,5494.64,2,Product Management
44-2832847,3190.39,5,Engineering
06-4792584,3427.38,4,Accounting
89-7694124,4307.53,1,Accounting
78-0745670,3578.07,2,Human Resources
93-6587440,5167.76,4,Legal
36-3990868,3232.64,5,Sales
32-2494707,5345.5,3,Product Management
04-9605656,3477.97,1,Research and Development
35-9777008,3378.32,4,Legal
66-2416085,3276.2,2,Business Development
40-6739129,4662.01,4,Accounting
10-7205042,3127.57,3,Engineering
64-9594568,4644.2,1,Human Resources
82-8581985,3332.54,2,Research and Development
28-2802708,4856.24,3,Engineering
09-0238853,5705.07,3,Legal
98-3736209,4204.92,4,Research and Development
88-2671384,3027.82,2,Training
50-6365852,3819.78,5,Human Resources
78-4907023,5517.62,3,Engineering
06-0890099,3937.46,1,Training
11-8247178,4952.71,5,Support
39-8259735,3014.64,1,Training
26-7418015,4782.79,2,Product Management
42-6115532,3377.79,5,Research and Development
10-5556108,4637.71,3,Research and Development
80-9095340,4216.89,1,Product Management
94-8365260,5969.94,5,Business Development
58-3050517,4490.57,1,Accounting
69-9149771,3520.05,1,Engineering
81-2169582,3812.68,2,Marketing
88-0905898,2879.41,4,Business Development
88-9856902,4389.62,2,Legal
98-4197290,5196.26,5,Product Management
59-1705501,3540.18,3,Support
77-3015573,5220.49,1,Human Resources
51-1159878,5461.77,4,Product Management
66-6488982,3690.66,4,Support
62-7814801,4015.4,5,Human Resources
47-9726740,5573.91,2,Support
00-4167656,5842.1,5,Training
10-4872898,3812.12,4,Support
09-6167029,3011.4,5,Engineering
01-8435532,4567.92,5,Human Resources
22-0582155,2917.38,3,Research and Development
94-9016189,5765.98,1,Accounting
01-1443705,2971.93,4,Marketing
23-7549633,4078.1,2,Research and Development
98-3487104,5660.51,2,Accounting
03-3585408,3331.61,2,Research and Development
96-3079832,3850.57,5,Training
