EMPLOYEE_ID,SALARY,MANAGER,DEPARTMENT
R000001,3082,Colin,Schoonmaak
R000002,4558,Albert,Management
R000003,9849,Eva,Engineering
R000004,4047,Albert,Engineering
R000005,9643,Albert,Sales
R000006,4747,Colin,Sales
R000007,2975,Eva,Tester
R000008,3806,Eva,Schoonmaak
R000009,2189,Diana,Tester
R000010,9101,Albert,Sales
R000011,4734,Albert,Management
R000012,5005,Bob,Sales
R000013,6658,Diana,Schoonmaak
R000014,3899,Bob,Sales
R000015,9734,Bob,Schoonmaak
R000016,3267,Bob,Schoonmaak
R000017,8975,Colin,Schoonmaak
R000018,3528,Colin,Schoonmaak
R000019,5202,Bob,Schoonmaak
R000020,5556,Diana,Management
R000021,5890,Albert,Tester
R000022,2646,Diana,Engineering
R000023,8164,Eva,Tester
R000024,4888,Colin,Schoonmaak
R000025,8310,Albert,Management
R000026,7393,Albert,Sales
R000027,4435,Eva,Management
R000028,2600,Eva,Schoonmaak
R000029,4363,Bob,Management
R000030,4061,Colin,Management
R000031,2241,Colin,Schoonmaak
R000032,4041,Diana,Management
R000033,4824,Bob,Engineering
R000034,9513,Bob,Engineering
R000035,4612,Bob,Management
R000036,9041,Bob,Sales
R000037,3363,Colin,Schoonmaak
R000038,8235,Colin,Engineering
R000039,7486,Bob,Sales
R000040,9099,Diana,Management
R000041,3478,Albert,Sales
R000042,9595,Albert,Tester
R000043,4556,Diana,Engineering
R000044,2775,Bob,Management
R000045,6014,Colin,Schoonmaak
R000046,2034,Albert,Management
R000047,8349,Eva,Schoonmaak
R000048,5152,Eva,Management
R000049,3955,Diana,Sales
R000050,3585,Bob,Sales
R000051,5943,Albert,Sales
R000052,9555,Bob,Tester
R000053,5073,Albert,Schoonmaak
R000054,3021,Diana,Sales
R000055,5461,Diana,Tester
R000056,4613,Eva,Schoonmaak
R000057,7225,Bob,Management
R000058,5843,Eva,Tester
R000059,9989,Bob,Engineering
R000060,3500,Eva,Tester
R000061,6798,Colin,Tester
R000062,8545,Colin,Schoonmaak
R000063,8873,Colin,Management
R000064,7675,Colin,Engineering
R000065,2161,Albert,Sales
R000066,6297,Colin,Sales
R000067,3981,Diana,Tester
R000068,2995,Diana,Schoonmaak
R000069,8413,Albert,Schoonmaak
R000070,6911,Colin,Sales
R000071,5342,Colin,Engineering
R000072,6551,Colin,Management
R000073,9629,Eva,Engineering
R000074,5798,Bob,Management
R000075,3275,Eva,Sales
R000076,3016,Bob,Management
R000077,9869,Colin,Schoonmaak
R000078,8439,Colin,Tester
R000079,9892,Eva,Tester
R000080,8863,Eva,Sales
R000081,9916,Bob,Schoonmaak
R000082,2337,Diana,Engineering
R000083,2878,Bob,Schoonmaak
R000084,3076,Eva,Tester
R000085,6887,Eva,Tester
R000086,5993,Albert,Schoonmaak
R000087,8360,Eva,Schoonmaak
R000088,6859,Albert,Tester
R000089,8331,Diana,Engineering
R000090,2379,Bob,Sales
R000091,2492,Bob,Sales
R000092,9208,Albert,Schoonmaak
R000093,7276,Bob,Sales
R000094,4062,Eva,Tester
R000095,5884,Colin,Tester
R000096,2064,Albert,Schoonmaak
R000097,4568,Bob,Schoonmaak
R000098,7463,Albert,Schoonmaak
R000099,7248,Albert,Engineering
R000100,4027,Colin,Sales
