EMPLOYEE_ID,SALARY,MANAGER,DEPARTMENT
R000001,2628,Bob,Sales
R000002,9686,Diana,Tester
R000003,6232,Bob,Engineering
R000004,4930,Bob,Sales
R000005,8831,Albert,Tester
R000006,3521,Eva,Schoonmaak
R000007,2826,Diana,Management
R000008,6822,Bob,Management
R000009,3500,Albert,Management
R000010,8737,Colin,Schoonmaak
R000011,5294,Diana,Tester
R000012,7085,Bob,Schoonmaak
R000013,4419,Eva,Management
R000014,2934,Albert,Sales
R000015,5042,Bob,Engineering
R000016,6497,Eva,Schoonmaak
R000017,3466,Bob,Schoonmaak
R000018,5561,Diana,Tester
R000019,2614,Diana,Tester
R000020,7392,Diana,Schoonmaak
R000021,9693,Albert,Management
R000022,3182,Diana,Engineering
R000023,5223,Eva,Tester
R000024,9138,Bob,Management
R000025,4667,Colin,Sales
R000026,8331,Eva,Tester
R000027,9980,Eva,Management
R000028,7217,Diana,Management
R000029,2130,Albert,Engineering
R000030,8948,Bob,Engineering
R000031,7290,Albert,Sales
R000032,4983,Bob,Management
R000033,9129,Bob,Management
R000034,6278,Albert,Engineering
R000035,9126,Eva,Tester
R000036,6459,Bob,Tester
R000037,2038,Albert,Schoonmaak
R000038,9694,Bob,Engineering
R000039,5959,Colin,Schoonmaak
R000040,8640,Eva,Engineering
R000041,5587,Diana,Sales
R000042,7468,Bob,Management
R000043,9125,Colin,Sales
R000044,2920,Diana,Engineering
R000045,9564,Diana,Management
R000046,4769,Bob,Tester
R000047,9328,Albert,Tester
R000048,6111,Bob,Schoonmaak
R000049,2492,Colin,Engineering
R000050,7545,Diana,Engineering
R000051,3131,Bob,Tester
R000052,9037,Albert,Sales
,5521,Bob,Management
R000054,2310,Eva,Sales
R000055,2738,Albert,Sales
R000056,5241,Colin,Tester
R000057,2545,Diana,Tester
R000058,4461,Bob,Tester
R000059,6346,Albert,Schoonmaak
R000060,6854,Eva,Sales
R000061,3804,Albert,Engineering
R000062,5212,Eva,Management
R000063,7393,Colin,Schoonmaak
R000064,9583,Diana,Engineering
R000065,7727,Colin,Sales
R000066,5810,Bob,Tester
R000067,8010,Albert,Sales
R000068,9206,Eva,Management
R000069,2813,Eva,Schoonmaak
R000070,6124,Albert,Schoonmaak
R000071,7053,Albert,Management
R000072,4032,Bob,Engineering
R000073,6572,Colin,Engineering
R000074,6413,Eva,Schoonmaak
R000075,2244,Bob,Schoonmaak
R000076,6843,Colin,Tester
R000077,6792,Bob,Engineering
R000078,2271,Eva,Management
,5511,Albert,Engineering
R000080,3771,Albert,Tester
R000081,3262,Colin,Schoonmaak
R000082,4424,Diana,Schoonmaak
R000083,6361,Colin,Tester
R000084,9069,Diana,Management
R000085,2920,Bob,Schoonmaak
R000086,5430,Bob,Sales
R000087,6435,Eva,Schoonmaak
R000088,6484,Diana,Sales
R000089,4624,Eva,Tester
R000090,5760,Albert,Tester
R000091,4050,Diana,Schoonmaak
R000092,5500,Colin,Engineering
R000093,3165,Albert,Sales
R000094,2375,Albert,Management
R000095,9837,Colin,Schoonmaak
R000096,4033,Albert,Management
R000097,8467,Diana,Schoonmaak
R000098,2145,Eva,Engineering
R000099,8077,Albert,Engineering
R000100,6388,Diana,Engineering
R000101,9832,Bob,Engineering
R000102,2431,Diana,Tester
R000103,2704,Eva,Tester
R000104,9092,Diana,Sales
R000105,8094,Colin,Management
R000106,4632,Eva,Schoonmaak
R000107,6494,Bob,Schoonmaak
R000108,8960,Colin,Tester
,9511,Diana,Schoonmaak
R000110,2963,Eva,Tester
R000111,9307,Bob,Sales
R000112,4234,Colin,Management
R000113,4041,Bob,Sales
R000114,3828,Diana,Engineering
R000115,4108,Bob,Engineering
R000116,6068,Albert,Engineering
R000117,2938,Colin,Sales
R000118,9547,Bob,Schoonmaak
R000119,6805,Diana,Management
R000120,2806,Diana,Engineering
R000121,3463,Bob,Engineering
R000122,9486,Diana,Engineering
R000123,7421,Eva,Management
R000124,5415,Eva,Engineering
R000125,2010,Eva,Management
R000126,7181,Albert,Engineering
R000127,3868,Bob,Sales
R000128,8369,Albert,Sales
R000129,9320,Diana,Management
R000130,9878,Albert,Sales
R000131,8707,Diana,Management
R000132,6867,Diana,Sales
R000133,7690,Colin,Sales
R000134,7703,Eva,Management
R000135,9827,Diana,Schoonmaak
R000136,9742,Colin,Sales
R000137,7429,Eva,Engineering
R000138,2884,Diana,Schoonmaak
R000139,9410,Diana,Management
R000140,5564,Albert,Schoonmaak
R000141,3389,Albert,Tester
R000142,5401,Eva,Tester
R000143,9274,Diana,Sales
R000144,6321,Bob,Sales
R000145,2824,Albert,Engineering
R000146,4265,Eva,Schoonmaak
R000147,2936,Diana,Tester
R000148,4800,Diana,Sales
R000149,4553,Bob,Schoonmaak
R000150,8402,Eva,Sales
R000151,8007,Diana,Sales
,5845,Albert,Tester
R000153,9684,Bob,Tester
R000154,3796,Eva,Sales
R000155,2053,Bob,Management
R000156,9214,Albert,Sales
R000157,2726,Eva,Sales
R000158,4736,Bob,Engineering
R000159,7640,Colin,Engineering
R000160,5170,Albert,Engineering
R000161,7139,Albert,Management
R000162,3913,Albert,Management
R000163,7872,Colin,Sales
R000164,3596,Colin,Engineering
R000165,3914,Diana,Management
R000166,9657,Bob,Tester
R000167,4466,Diana,Sales
R000168,4737,Bob,Schoonmaak
R000169,2849,Colin,Sales
R000170,4109,Colin,Schoonmaak
R000171,9312,Diana,Engineering
R000172,8359,Eva,Schoonmaak
R000173,2002,Diana,Engineering
R000174,6255,Bob,Tester
R000175,9906,Diana,Schoonmaak
R000176,6069,Albert,Sales
R000177,6876,Bob,Engineering
R000178,9287,Bob,Sales
R000179,2892,Eva,Management
R000180,4030,Colin,Engineering
R000181,5160,Bob,Schoonmaak
R000182,4376,Colin,Engineering
R000183,6675,Diana,Sales
R000184,3933,Albert,Tester
R000185,3380,Eva,Engineering
,5681,Colin,Schoonmaak
R000187,3290,Bob,Management
R000188,3640,Colin,Tester
,7047,Bob,Management
R000190,9490,Colin,Engineering
R000191,4682,Bob,Sales
R000192,2987,Diana,Sales
R000193,9708,Bob,Schoonmaak
R000194,9816,Bob,Sales
R000195,3218,Albert,Tester
R000196,7016,Bob,Sales
R000197,8881,Albert,Schoonmaak
R000198,3355,Eva,Engineering
R000199,6265,Albert,Engineering
R000200,6616,Diana,Sales
R000201,7582,Albert,Management
R000202,6135,Eva,Engineering
R000203,3560,Diana,Sales
R000204,9428,Colin,Schoonmaak
R000205,3418,Colin,Sales
R000206,2954,Albert,Engineering
R000207,9393,Albert,Schoonmaak
R000208,2983,Eva,Sales
R000209,9291,Eva,Tester
R000210,2974,Bob,Schoonmaak
R000211,6133,Eva,Tester
R000212,8471,Bob,Management
R000213,7370,Diana,Schoonmaak
R000214,5972,Albert,Tester
R000215,7295,Diana,Engineering
R000216,7721,Eva,Engineering
R000217,2913,Diana,Management
,6549,Diana,Schoonmaak
R000219,2036,Diana,Schoonmaak
R000220,5387,Eva,Schoonmaak
R000221,3711,Diana,Management
R000222,5020,Bob,Schoonmaak
R000223,2795,Eva,Engineering
R000224,6036,Diana,Tester
,7068,Eva,Engineering
R000226,6688,Colin,Engineering
R000227,7233,Bob,Tester
R000228,5111,Diana,Engineering
R000229,3324,Colin,Management
R000230,8367,Colin,Tester
R000231,2317,Eva,Engineering
R000232,4396,Colin,Sales
R000233,4162,Bob,Engineering
R000234,4745,Bob,Management
R000235,7442,Albert,Schoonmaak
R000236,3591,Bob,Engineering
R000237,5111,Colin,Schoonmaak
R000238,7985,Bob,Sales
R000239,8183,Eva,Engineering
R000240,5930,Albert,Tester
R000241,3996,Colin,Schoonmaak
R000242,7868,Albert,Sales
R000243,3312,Colin,Tester
R000244,3285,Eva,Tester
R000245,6311,Albert,Tester
R000246,9314,Diana,Tester
R000247,4383,Colin,Engineering
R000248,5239,Diana,Engineering
R000249,4139,Albert,Engineering
R000250,8496,Diana,Sales
R000251,8714,Diana,Sales
R000252,9738,Albert,Sales
R000253,8959,Eva,Management
R000254,3704,Diana,Sales
R000255,8924,Diana,Engineering
R000256,2362,Eva,Engineering
R000257,4604,Diana,Management
R000258,9512,Diana,Management
R000259,3716,Diana,Sales
R000260,7289,Bob,Schoonmaak
R000261,6451,Eva,Management
R000262,6286,Diana,Tester
R000263,5738,Eva,Engineering
R000264,4469,Colin,Tester
R000265,6795,Colin,Engineering
R000266,8150,Diana,Engineering
R000267,8276,Eva,Management
R000268,9914,Eva,Management
R000269,2556,Eva,Tester
R000270,2825,Bob,Engineering
R000271,4808,Colin,Tester
R000272,7150,Eva,Schoonmaak
R000273,8678,Eva,Tester
R000274,6521,Bob,Sales
R000275,9561,Bob,Tester
R000276,4719,Eva,Sales
R000277,8506,Albert,Sales
R000278,5508,Eva,Sales
R000279,5741,Eva,Schoonmaak
R000280,3574,Bob,Tester
R000281,5998,Bob,Tester
R000282,4129,Eva,Schoonmaak
R000283,4403,Eva,Engineering
R000284,5329,Eva,Management
R000285,9885,Bob,Tester
R000286,2588,Eva,Management
R000287,4012,Eva,Schoonmaak
R000288,3547,Diana,Engineering
R000289,2294,Albert,Engineering
R000290,3985,Colin,Engineering
R000291,7343,Albert,Schoonmaak
R000292,7644,Diana,Sales
,5117,Colin,Sales
R000294,3690,Eva,Management
R000295,3136,Diana,Sales
R000296,7352,Eva,Sales
R000297,4064,Bob,Engineering
R000298,6455,Diana,Engineering
R000299,9390,Bob,Management
R000300,9009,Diana,Tester
R000301,6795,Diana,Management
R000302,6543,Bob,Management
R000303,8999,Colin,Schoonmaak
R000304,8508,Albert,Schoonmaak
R000305,6770,Eva,Management
R000306,3007,Diana,Management
R000307,7445,Eva,Management
R000308,4514,Bob,Sales
R000309,8557,Eva,Schoonmaak
R000310,5526,Bob,Management
R000311,6681,Eva,Engineering
R000312,7352,Albert,Engineering
,3247,Albert,Sales
R000314,7089,Albert,Sales
R000315,5902,Albert,Tester
R000316,3435,Albert,Tester
R000317,2571,Albert,Tester
R000318,4382,Bob,Sales
R000319,3245,Diana,Sales
R000320,4084,Eva,Sales
R000321,7084,Albert,Engineering
R000322,2277,Bob,Sales
R000323,7315,Bob,Engineering
R000324,9059,Bob,Tester
R000325,3887,Diana,Tester
R000326,6579,Eva,Tester
R000327,3265,Diana,Management
R000328,9491,Colin,Management
R000329,6826,Bob,Schoonmaak
R000330,8335,Colin,Schoonmaak
R000331,3040,Albert,Schoonmaak
R000332,8667,Albert,Management
R000333,2917,Diana,Management
R000334,8544,Eva,Schoonmaak
R000335,2885,Colin,Schoonmaak
R000336,4752,Eva,Sales
,2021,Diana,Schoonmaak
R000338,6569,Albert,Sales
R000339,5191,Eva,Engineering
R000340,8353,Eva,Management
R000341,4353,Albert,Schoonmaak
R000342,9437,Colin,Management
R000343,6799,Albert,Management
R000344,2686,Eva,Management
R000345,2284,Colin,Engineering
R000346,6811,Colin,Tester
R000347,5747,Albert,Schoonmaak
R000348,2762,Eva,Tester
R000349,7346,Diana,Tester
R000350,7043,Eva,Tester
R000351,4428,Bob,Management
,4507,Diana,Sales
R000353,7126,Colin,Management
R000354,2028,Diana,Management
R000355,2906,Colin,Tester
R000356,5104,Colin,Management
R000357,9813,Diana,Tester
,9022,Colin,Sales
R000359,8222,Colin,Schoonmaak
R000360,5999,Bob,Tester
R000361,4994,Eva,Sales
R000362,4506,Eva,Schoonmaak
R000363,6665,Bob,Engineering
R000364,8102,Diana,Tester
R000365,5609,Albert,Tester
R000366,5553,Albert,Engineering
R000367,3453,Albert,Engineering
R000368,6833,Bob,Tester
R000369,5356,Bob,Engineering
R000370,2515,Colin,Management
R000371,8096,Albert,Schoonmaak
R000372,9266,Diana,Schoonmaak
R000373,8540,Diana,Schoonmaak
R000374,9656,Albert,Management
R000375,2038,Albert,Engineering
R000376,5342,Albert,Sales
R000377,2886,Bob,Engineering
R000378,4844,Bob,Tester
